timestamp,Date,Southern,Northern,Southern_7,Northern_7,Southern_low,Southern_high,Northern_low,Northern_high,Southern_variant,Northern_variant
1583020800.0,3/1/2020,,,,,,,,,,
1583107200.0,3/2/2020,,,,,,,,,,
1583193600.0,3/3/2020,,,,,,,,,,
1583280000.0,3/4/2020,,,,,,,,,,
1583366400.0,3/5/2020,,,,,,,,,,
1583452800.0,3/6/2020,,,,,,,,,,
1583539200.0,3/7/2020,,,,,,,,,,
1583625600.0,3/8/2020,,,,,,,,,,
1583712000.0,3/9/2020,,29,,,,,9,14,,
1583798400.0,3/10/2020,38,15,,21,12,17,5,7,,
1583884800.0,3/11/2020,31,65,34,31,10,15,21,30,,
1583971200.0,3/12/2020,25,36,31,32,8,12,11,17,,
1584057600.0,3/13/2020,,,31,32,0,0,0,0,,
1584144000.0,3/14/2020,16,27,26,31,5,7,9,13,,
1584230400.0,3/15/2020,39,53,28,34,12,18,17,25,,
1584316800.0,3/16/2020,33,23,29,32,10,15,7,11,,
1584403200.0,3/17/2020,106,78,35,43,33,49,24,36,,
1584489600.0,3/18/2020,65,45,39,40,21,30,14,21,,
1584576000.0,3/19/2020,19,49,37,42,6,9,16,23,,
1584662400.0,3/20/2020,,,37,42,0,0,0,0,,
1584748800.0,3/21/2020,,,44,46,0,0,0,0,,
1584835200.0,3/22/2020,,,45,45,0,0,0,0,,
1584921600.0,3/23/2020,146,380,66,90,46,68,120,176,,
1585008000.0,3/24/2020,,321,56,129,0,0,102,148,,
1585094400.0,3/25/2020,30,228,43,192,9,14,72,105,,
1585180800.0,3/26/2020,370,39,117,182,117,171,12,18,,
1585267200.0,3/27/2020,34,299,86,201,11,16,95,138,,
1585353600.0,3/28/2020,,,86,201,0,0,0,0,,
1585440000.0,3/29/2020,,,86,201,0,0,0,0,,
1585526400.0,3/30/2020,46,219,64,180,15,21,69,101,,
1585612800.0,3/31/2020,,,64,155,0,0,0,0,,
1585699200.0,4/1/2020,143,475,95,187,45,66,150,220,,
1585785600.0,4/2/2020,,,61,315,0,0,0,0,,
1585872000.0,4/3/2020,233,438,116,357,74,108,138,202,,
1585958400.0,4/4/2020,,,116,357,0,0,0,0,,
1586044800.0,4/5/2020,,,116,357,0,0,0,0,,
1586131200.0,4/6/2020,,,182,456,0,0,0,0,,
1586217600.0,4/7/2020,310,562,218,489,98,143,178,260,,
1586304000.0,4/8/2020,,,269,496,0,0,0,0,,
1586390400.0,4/9/2020,501,784,331,578,158,231,248,362,,
1586476800.0,4/10/2020,,,394,664,0,0,0,0,,
1586563200.0,4/11/2020,,,394,664,0,0,0,0,,
1586649600.0,4/12/2020,,,394,664,0,0,0,0,,
1586736000.0,4/13/2020,,,394,664,0,0,0,0,,
1586822400.0,4/14/2020,389,702,441,742,123,180,222,324,,
1586908800.0,4/15/2020,,,441,742,0,0,0,0,,
1586995200.0,4/16/2020,138,321,232,474,44,64,101,148,,
1587081600.0,4/17/2020,164,360,206,433,52,76,114,166,,
1587168000.0,4/18/2020,,,206,433,0,0,0,0,,
1587254400.0,4/19/2020,,,206,433,0,0,0,0,,
1587340800.0,4/20/2020,,,206,433,0,0,0,0,,
1587427200.0,4/21/2020,,,150,340,0,0,0,0,,
1587513600.0,4/22/2020,220,541,171,397,70,102,171,250,,
1587600000.0,4/23/2020,179,283,186,381,57,83,90,131,,
1587686400.0,4/24/2020,,,199,391,0,0,0,0,,
1587772800.0,4/25/2020,,,199,391,0,0,0,0,,
1587859200.0,4/26/2020,,,199,391,0,0,0,0,,
1587945600.0,4/27/2020,130,,173,391,41,60,0,0,,
1588032000.0,4/28/2020,97,293,149,355,31,45,93,135,,
1588118400.0,4/29/2020,,,131,288,0,0,0,0,,
1588204800.0,4/30/2020,,,112,293,0,0,0,0,,
1588291200.0,5/1/2020,,,112,293,0,0,0,0,,
1588377600.0,5/2/2020,,,112,293,0,0,0,0,,
1588464000.0,5/3/2020,209,93,138,165,66,96,29,43,,
1588550400.0,5/4/2020,,,142,165,0,0,0,0,,
1588636800.0,5/5/2020,97,94,142,94,31,45,30,44,,
1588723200.0,5/6/2020,5,22,47,58,2,2,7,10,,
1588809600.0,5/7/2020,,,47,58,0,0,0,0,,
1588896000.0,5/8/2020,,,47,58,0,0,0,0,,
1588982400.0,5/9/2020,,,47,58,0,0,0,0,,
1589068800.0,5/10/2020,,,22,46,0,0,0,0,,
1589155200.0,5/11/2020,164,,43,46,52,76,0,0,,
1589241600.0,5/12/2020,,,29,22,0,0,0,0,,
1589328000.0,5/13/2020,,,,,0,0,0,0,,
1589414400.0,5/14/2020,,,,,0,0,0,0,,
1589500800.0,5/15/2020,,,,,0,0,0,0,,
1589587200.0,5/16/2020,,,,,0,0,0,0,,
1589673600.0,5/17/2020,,,,,0,0,0,0,,
1589760000.0,5/18/2020,,,,,0,0,0,0,,
1589846400.0,5/19/2020,,,,,0,0,0,0,,
1589932800.0,5/20/2020,,,,,0,0,0,0,,
1590019200.0,5/21/2020,82,42,,,26,38,13,20,,
1590105600.0,5/22/2020,426,244,,,135,197,77,113,,
1590192000.0,5/23/2020,77,69,,,24,36,22,32,,
1590278400.0,5/24/2020,79,52,121,78,25,36,16,24,,
1590364800.0,5/25/2020,66,42,107,69,21,31,13,19,,
1590451200.0,5/26/2020,97,38,105,62,31,45,12,17,,
1590537600.0,5/27/2020,197,81,115,65,62,91,26,37,,
1590624000.0,5/28/2020,50,35,107,63,16,23,11,16,,
1590710400.0,5/29/2020,28,49,73,50,9,13,15,22,,
1590796800.0,5/30/2020,66,,71,47,21,31,0,0,,
1590883200.0,5/31/2020,79,37,71,45,25,37,12,17,,
1590969600.0,6/1/2020,82,60,73,48,26,38,19,28,,
1591056000.0,6/2/2020,194,95,81,55,61,90,30,44,,
1591142400.0,6/3/2020,35,40,63,49,11,16,13,18,,
1591228800.0,6/4/2020,47,32,63,49,15,22,10,15,,
1591315200.0,6/5/2020,44,45,67,48,14,20,14,21,,
1591401600.0,6/6/2020,19,46,56,48,6,9,15,21,,
1591488000.0,6/7/2020,24,27,47,45,8,11,8,12,,
1591574400.0,6/8/2020,26,19,40,39,8,12,6,9,,
1591660800.0,6/9/2020,52,167,33,42,16,24,53,77,,
1591747200.0,6/10/2020,75,68,37,45,24,35,21,31,,
1591833600.0,6/11/2020,40,134,36,56,13,19,42,62,,
1591920000.0,6/12/2020,45,78,36,60,14,21,25,36,,
1592006400.0,6/13/2020,77,180,44,73,24,36,57,83,,
1592092800.0,6/14/2020,36,,47,86,11,17,0,0,,
1592179200.0,6/15/2020,38,141,50,120,12,17,45,65,,
1592265600.0,6/16/2020,60,118,51,113,19,28,37,55,,
1592352000.0,6/17/2020,19,13,42,86,6,9,4,6,,
1592438400.0,6/18/2020,16,21,37,63,5,7,7,10,,
1592524800.0,6/19/2020,11,37,30,56,3,5,12,17,,
1592611200.0,6/20/2020,12,25,23,40,4,5,8,11,,
1592697600.0,6/21/2020,22,26,21,38,7,10,8,12,,
1592784000.0,6/22/2020,24,,20,30,8,11,0,0,,
1592870400.0,6/23/2020,16,22,17,23,5,8,7,10,,
1592956800.0,6/24/2020,5,10,14,22,2,2,3,4,,
1593043200.0,6/25/2020,9,16,12,21,3,4,5,7,,
1593129600.0,6/26/2020,9,11,12,17,3,4,4,5,,
1593216000.0,6/27/2020,20,15,13,16,6,9,5,7,,
1593302400.0,6/28/2020,8,19,11,15,2,4,6,9,,
1593388800.0,6/29/2020,20,15,11,15,6,9,5,7,,
1593475200.0,6/30/2020,12,22,11,15,4,5,7,10,,
1593561600.0,7/1/2020,15,27,12,17,5,7,8,12,,
1593648000.0,7/2/2020,52,29,16,19,16,24,9,14,,
1593734400.0,7/3/2020,20,43,18,23,6,9,14,20,,
1593820800.0,7/4/2020,35,15,19,23,11,16,5,7,,
1593907200.0,7/5/2020,11,13,20,21,4,5,4,6,,
1593993600.0,7/6/2020,17,34,20,24,5,8,11,16,,
1594080000.0,7/7/2020,24,37,22,26,8,11,12,17,,
1594166400.0,7/8/2020,14,30,22,26,4,6,9,14,,
1594252800.0,7/9/2020,27,21,20,25,9,13,7,10,,
1594339200.0,7/10/2020,9,36,18,24,3,4,11,16,,
1594425600.0,7/11/2020,24,21,17,26,8,11,7,10,,
1594512000.0,7/12/2020,27,46,19,31,9,13,15,21,,
1594598400.0,7/13/2020,25,32,20,31,8,12,10,15,,
1594684800.0,7/14/2020,17,32,19,30,6,8,10,15,,
1594771200.0,7/15/2020,35,30,22,30,11,16,9,14,,
1594857600.0,7/16/2020,23,25,21,31,7,11,8,11,,
1594944000.0,7/17/2020,22,43,24,32,7,10,14,20,,
1595030400.0,7/18/2020,42,26,26,32,13,20,8,12,,
1595116800.0,7/19/2020,23,14,26,27,7,11,5,7,,
1595203200.0,7/20/2020,31,20,27,26,10,15,6,9,,
1595289600.0,7/21/2020,12,17,25,24,4,6,5,8,,
1595376000.0,7/22/2020,35,28,25,23,11,16,9,13,,
1595462400.0,7/23/2020,15,23,24,23,5,7,7,11,,
1595548800.0,7/24/2020,26,57,24,24,8,12,18,26,,
1595635200.0,7/25/2020,24,41,22,26,8,11,13,19,,
1595721600.0,7/26/2020,14,33,21,29,5,7,10,15,,
1595808000.0,7/27/2020,28,31,20,31,9,13,10,14,,
1595894400.0,7/28/2020,,,22,34,0,0,0,0,,
1595980800.0,7/29/2020,30,24,22,33,9,14,8,11,,
1596067200.0,7/30/2020,,,24,35,0,0,0,0,,
1596153600.0,7/31/2020,29,81,24,38,9,13,25,37,,
1596240000.0,8/1/2020,,,24,37,0,0,0,0,,
1596326400.0,8/2/2020,,,29,39,0,0,0,0,,
1596412800.0,8/3/2020,109,109,46,59,35,51,34,50,,
1596499200.0,8/4/2020,74,47,51,56,23,34,15,22,,
1596585600.0,8/5/2020,101,43,70,65,32,47,14,20,,
1596672000.0,8/6/2020,27,48,57,61,8,12,15,22,,
1596758400.0,8/7/2020,18,41,52,53,6,8,13,19,,
1596844800.0,8/8/2020,,,52,53,0,0,0,0,,
